title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Jackass: Number Two (2006),84618532,72778712,11839820,3063,R,11500000,September,2006,6.55,11111253.74,100112396.2,Fall
Gridiron Gang (2006),41480851,38432823,3048028,3510,PG-13,3.00E+07,September,2006,6.55,5867606.565,52867135.15,Fall
The Covenant (2006),37597471,23380495,14216976,2681,PG-13,NA,September,2006,6.55,3569541.221,32161566.4,Fall
Invincible (2006),58480828,57806952,673876,2987,PG,NA,August,2006,6.55,8825488.855,79517654.58,Summer
Talladega Nights: The Ballad of Ricky Bobby (2006),162966177,148213377,14752800,3807,PG-13,72500000,August,2006,6.55,22627996.49,203878248.4,Summer
Miami Vice (2006),163794509,63450470,100344039,3026,R,1.35E+08,July,2006,6.55,9687094.656,87280722.85,Summer
Pirates of the Caribbean: Dead Man's Chest (2006),1066179725,423315812,642863913,4133,PG-13,2.25E+08,July,2006,6.55,64628368.24,582301597.9,Summer
Superman Returns (2006),391081192,200081192,1.91E+08,4065,PG-13,2.70E+08,June,2006,6.55,30546746.87,275226189.3,Summer
Click (2006),237681299,137355633,100325666,3764,PG-13,82500000,June,2006,6.55,20970325.65,188942634.1,Summer
Cars (2006),462216280,244082982,218133298,3988,G,1.20E+08,June,2006,6.55,37264577.4,335753842.4,Summer
The Break-Up (2006),204999686,118703275,86296411,3146,PG-13,5.20E+07,June,2006,6.55,18122637.4,163284963,Summer
X-Men: The Last Stand (2006),459359555,234362462,224997093,3714,PG-13,2.10E+08,May,2006,6.55,35780528.55,322382562.2,Spring
The Da Vinci Code (2006),758239851,217536138,540703713,3757,PG-13,1.25E+08,May,2006,6.55,33211624.12,299236733.3,Spring
Mission: Impossible III (2006),397850012,134029801,263820211,4059,PG-13,1.50E+08,May,2006,6.55,20462565.04,184367711,Spring
RV (2006),87528173,71726025,15802148,3651,PG,5.00E+07,April,2006,6.55,10950538.17,98664348.89,Spring
Silent Hill (2006),97607453,46982632,50624821,2932,R,5.00E+07,April,2006,6.55,7172920.916,64628017.45,Spring
Scary Movie 4 (2006),178262620,90710620,87552000,3674,PG-13,4.50E+07,April,2006,6.55,13848949.62,124779036.1,Spring
Ice Age: The Meltdown (2006),660940780,195330621,465610159,3969,PG,8.00E+07,March,2006,6.55,29821468.85,268691434.4,Spring
Inside Man (2006),184376254,88513495,95862759,2867,R,4.50E+07,March,2006,6.55,13513510.69,121756731.3,Spring
V for Vendetta (2006),NA,NA,0,NA,R,5.40E+07,March,2006,6.55,NA,NA,Spring
Failure to Launch (2006),128406887,88715192,39691695,3202,PG-13,5.00E+07,March,2006,6.55,13544304.12,122034180.1,Spring
16 Blocks (2006),65664721,36895141,28769580,2706,PG-13,NA,March,2006,6.55,5632845.954,50751942.05,Spring
Tyler Perry's Madea's Family Reunion (2006),63308879,63257940,50939,2194,PG-13,6.00E+06,February,2006,6.55,9657700.763,87015883.88,Winter
Eight Below (2006),120455994,81612565,38843429,3122,PG,4.00E+07,February,2006,6.55,12459933.59,112264001.6,Winter
Final Destination 3 (2006),117719158,54098051,63621107,2880,R,2.50E+07,February,2006,6.55,8259244.427,74415792.29,Winter
When a Stranger Calls (2006),66966987,47860214,19106773,3004,PG-13,1.50E+07,February,2006,6.55,7306902.901,65835195.14,Winter
Big Momma's House 2 (2006),138259062,70165972,68093090,3261,PG-13,4.00E+07,January,2006,6.55,10712362.14,96518382.86,Winter
Underworld: Evolution (2006),111340801,62318875,49021926,3207,R,NA,January,2006,6.55,9514332.061,85724131.87,Winter
Glory Road (2006),42938449,42647449,291000,2397,PG,NA,January,2006,6.55,6511060.916,58664658.85,Winter
Hostel (2006),80578934,47326473,33252461,2337,R,4800000,January,2006,6.55,7225415.725,65100995.68,Winter
National Treasure: Book of Secrets (2007),457364600,219964115,237400485,3832,PG,NA,December,2007,6.88,31971528.34,288063470.4,Winter
I Am Legend (2007),585349010,256393010,328956000,3648,PG-13,1.50E+08,December,2007,6.88,37266425.87,335770497.1,Winter
The Golden Compass (2007),372234864,70107728,302127136,3528,PG-13,1.80E+08,December,2007,6.88,10190076.74,91812591.47,Winter
Enchanted (2007),340487652,127807262,212680390,3730,PG,8.50E+07,November,2007,6.88,18576636.92,167375498.6,Fall
Beowulf (2007),196393745,82280579,114113166,3249,PG-13,1.50E+08,November,2007,6.88,11959386.48,107754072.2,Fall
Bee Movie (2007),287594577,126631277,160963300,3984,PG,1.50E+08,November,2007,6.88,18405708.87,165835436.9,Fall
American Gangster (2007),266465037,130164645,136300392,3110,R,1.00E+08,November,2007,6.88,18919279.8,170462711,Fall
Saw IV (2007),139352633,63300095,76052538,3183,R,NA,October,2007,6.88,9200595.203,82897362.78,Fall
30 Days of Night (2007),75505973,39568996,35936977,2859,R,3.00E+07,October,2007,6.88,5751307.558,51819281.1,Fall
Tyler Perry's Why Did I Get Married? (2007),55862886,55204525,658361,2034,PG-13,NA,October,2007,6.88,8023913.517,72295460.79,Fall
The Game Plan (2007),147880543,90648202,57232341,3342,PG,NA,September,2007,6.88,13175610.76,118712252.9,Fall
Resident Evil: Extinction (2007),148412065,50648679,97763386,2848,R,NA,September,2007,6.88,7361726.599,66329156.66,Fall
The Brave One (2007),69787663,36793804,32993859,2837,R,NA,September,2007,6.88,5347936.628,48184909.02,Fall
3:10 to Yuma (2007) (2007),70016220,53606916,16409304,3006,R,5.50E+07,September,2007,6.88,7791702.907,70203243.19,Fall
Halloween (2007) (2007),80253908,58272029,21981879,3475,R,NA,August,2007,6.88,8469771.657,76312642.63,Summer
Superbad (2007),169871719,121463226,48408493,3069,R,2.00E+07,August,2007,6.88,17654538.66,159067393.4,Summer
