title,widest_opening,rating,budget,gross_adj,season
The Empire Strikes Back (Special Edition) (1997),2322,PG,NA,570191798.2,Winter
Star Wars (Special Edition) (1997),2375,PG,NA,904922013.7,Winter
Evita (1996),NA,PG,5.50E+07,102019249.5,Winter
Beverly Hills Ninja (1997),2112,PG-13,NA,61794894.59,Winter
The Relic (1997),2128,R,NA,66655563.85,Winter
Patch Adams (1998),2909,PG-13,9.00E+07,259401361.8,Winter
You've Got Mail (1998),2948,PG,6.50E+07,222505686.6,Winter
Star Trek: Insurrection (1998),2677,PG,5.80E+07,134838123.4,Winter
A Bug's Life (1998),NA,G,1.20E+08,NA,Fall
The Rugrats Movie (1998),NA,G,2.40E+07,NA,Fall
The Waterboy (1998),2782,PG-13,2.30E+07,310243012.9,Fall
John Carpenter's Vampires (1998),1793,R,2.00E+07,39015359.43,Fall
Pleasantville (1998),1773,PG-13,6.00E+07,77967085.97,Fall
Practical Magic (1998),2652,PG-13,7.50E+07,89683843.66,Fall
Antz (1998),2929,PG,1.05E+08,174355724,Fall
Rush Hour (1998),2724,PG-13,3.30E+07,271235318.7,Fall
Rounders (1998),2191,R,NA,44017229.23,Fall
There's Something About Mary (1998),2555,R,2.30E+07,339046205.9,Summer
Blade (1998),2389,R,NA,134646127.8,Summer
Saving Private Ryan (1998),2807,R,7.00E+07,415998633.3,Summer
The Mask of Zorro (1998),2515,PG-13,9.50E+07,180767731.8,Summer
Lethal Weapon 4 (1998),3117,R,1.40E+08,250598267.2,Summer
Armageddon (1998),3184,PG-13,1.40E+08,387253607.6,Summer
Doctor Dolittle (1998),2871,PG-13,NA,276940514.1,Summer
The X-Files (1998),2650,PG-13,NA,161177782.5,Summer
The Truman Show (1998),2911,PG,NA,241326224.1,Summer
Godzilla (1998),3310,PG-13,1.30E+08,261874581.9,Spring
Deep Impact (1998),3280,PG-13,NA,269847894,Spring
He Got Game (1998),1414,R,NA,41434190.94,Spring
The Big Hit (1998),2149,R,NA,51883658.51,Spring
City of Angels (1998),2433,PG-13,NA,151162660.4,Spring
Lost in Space (1998),3306,PG-13,8.00E+07,132782481.3,Spring
Stuart Little (1999),3151,PG,1.33E+08,248369814.3,Winter
The Green Mile (1999),2875,R,6.00E+07,242633933,Winter
Toy Story 2 (1999),NA,G,9.00E+07,436048845,Fall
The World Is Not Enough (1999),3163,PG-13,1.35E+08,225150116.7,Fall
Pokemon: The First Movie (1999),3043,G,3.00E+07,152078623,Fall
The Bone Collector (1999),2623,R,7.30E+07,117978953.1,Fall
House on Haunted Hill (1999),NA,R,3.70E+07,72445511.58,Fall
The Best Man (1999),NA,R,9.00E+06,NA,Fall
Fight Club (1999),NA,R,6.30E+07,NA,Fall
Double Jeopardy (1999),3002,R,7.00E+07,207055401.1,Fall
Blue Streak (1999),2735,PG-13,6.50E+07,121525980.8,Fall
Stigmata (1999),2901,R,2.90E+07,88763164.31,Fall
The Sixth Sense (1999),2821,PG-13,4.00E+07,520569230.5,Summer
Runaway Bride (1999),3240,PG,7.00E+07,270047274.8,Summer
The Haunting (1999),2881,PG-13,8.00E+07,162128832.8,Summer
Eyes Wide Shut (1999),2483,R,6.50E+07,98775154.35,Summer
American Pie (1999),NA,R,1.10E+07,NA,Summer
Wild Wild West (1999),3342,PG-13,1.70E+08,201846491.3,Summer
Big Daddy (1999),3254,PG-13,34200000,289951368.7,Summer
Tarzan (1999),3131,G,1.30E+08,303452222.3,Summer
Austin Powers: The Spy Who Shagged Me (1999),3314,PG-13,3.30E+07,365437239.1,Summer
Star Wars: Episode I,3126,PG,1.15E+08,841662901.5,Spring
